z1,z2,z3,z4,z5,z6,z7,z8,z9
0.7500000000000002,0.6666666666666664,0.7478991596638662,0.38479131748336726,0.22873657824936158,0.19902929250485785,0.30782079427850817,0.20845595259619404,0.31884057971014457
0.5000000000000003,0.41666666666666663,0.49579831932773155,0.4213103626254922,0.0,0.19046355398293474,0.32028030823424336,0.016309991494355306,0.28985507246376807
0.3333333333333336,0.20833333333333331,0.6470588235294124,0.41400709373209904,0.5361540329192701,0.20226342658686286,0.1200933907362875,0.7081684087443617,0.10144927536231932
0.5000000000000003,0.29166666666666635,0.6974789915966393,0.5470447428223865,0.45837668750852095,0.1906445571124215,0.1914244432171946,0.670612370172448,0.028985507246376475
0.7500000000000002,0.6249999999999999,0.9327731092436974,0.4543451252983499,0.5484740581184455,0.19993006582010792,0.19405457031235482,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6249999999999999,0.9159663865546218,0.4501088230164145,0.5544530418900538,0.19929893672205082,0.20414500829229731,0.6756919587018566,0.14492753623188348
0.7500000000000002,0.6249999999999999,0.9243697478991596,0.4722756956833469,0.5424975009756028,0.19048170737609668,0.19909365156633008,0.7056200126446014,0.1159420289855059
0.7500000000000002,0.6249999999999999,0.8991596638655461,0.45921701885098876,0.5544530418900538,0.17977473706261557,0.21428472802062004,0.7254089933348273,0.14492753623188348
0.2499999999999998,0.08333333333333302,0.6890756302521015,0.40930841251386885,0.5066887837294838,0.18073123545984032,0.04243117758519188,0.7714849069865402,0.028985507246376475
0.7500000000000002,0.6666666666666664,0.9579831932773109,0.42753130368071,0.5544530418900538,0.2036235828563896,0.17901053354200927,0.6756919587018566,0.14492753623188348
0.7500000000000002,0.6249999999999999,0.9327731092436974,0.4543451252983499,0.5484740581184455,0.20075272814544556,0.19405457031235482,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6666666666666664,0.9579831932773109,0.45410633458443483,0.5424975009756028,0.18433305207604175,0.17901053354201146,0.7056200126446014,0.1159420289855059
0.3333333333333336,0.20833333333333331,0.7394957983193284,0.3894738230640747,0.5245823296723976,0.18009999122214873,0.06415614108239824,0.7634568318893749,0.07246376811594174
0.7500000000000002,0.6249999999999999,0.9327731092436974,0.4278156000826217,0.5819190321131148,0.2000545530439872,0.19405457031235482,0.6732149534176518,0.15942028985507228
0.7500000000000002,0.6416666666666662,0.8991596638655461,0.4064640376841686,0.6400028978309505,0.19626753938194713,0.21428472802062115,0.6658365465268257,0.20289855072463753
0.7500000000000002,0.6249999999999999,0.7983193277310932,0.4088645455266382,0.602372990515737,0.18693989508312311,0.27617848190130606,0.6561196990220931,0.2608695652173916
0.7500000000000002,0.6249999999999999,0.9495798319327731,0.44529290106431313,0.5484740581184455,0.2005080715746357,0.1840130556680671,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6249999999999999,0.9495798319327731,0.44529290106431313,0.5484740581184455,0.19969721423941503,0.1840130556680671,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6249999999999999,0.9579831932773109,0.45410633458443483,0.5424975009756028,0.19719715910740673,0.17901053354201146,0.6806725560890592,0.1159420289855059
0.7500000000000002,0.6249999999999999,0.9243697478991596,0.4455713458944456,0.5544530418900538,0.20205095218080782,0.19909365156633008,0.6756919587018566,0.14492753623188348
0.7500000000000002,0.6249999999999999,0.9243697478991596,0.45888775607272997,0.5484740581184455,0.2000568851061292,0.19909365156633008,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6249999999999999,0.9075630252100839,0.38897079050081007,0.5843845698518624,0.20993554089585262,0.2092086854005267,0.6633944589693197,0.21739130434782633
0.7500000000000002,0.6249999999999999,0.8907563025210083,0.43723836224437923,0.5664183132508744,0.2020041809876876,0.2193731815028659,0.6707467474417391,0.17391304347826106
0.7500000000000002,0.6416666666666662,0.9579831932773109,0.4407832276111578,0.5484740581184455,0.19720744436814258,0.17901053354201146,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6249999999999999,0.9411764705882353,0.47659627733645404,0.5365233644916437,0.1958491094274788,0.18902771983812083,0.633191912967221,0.10144927536231932
0.7500000000000002,0.6249999999999999,0.9159663865546218,0.5038711020268977,0.5305516427070025,0.20339540027131012,0.20414500829230173,0.6105778172929668,0.08695652173913053
0.7500000000000002,0.6249999999999999,0.9327731092436974,0.49467652493511466,0.5305516427070025,0.20029514518733946,0.19405457031235482,0.6105778172929668,0.08695652173913053
0.7500000000000002,0.6249999999999999,0.9159663865546218,0.46344145293913036,0.5484740581184455,0.1952975014094292,0.20414500829230173,0.6532749029075263,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9411764705882353,0.49009597409023997,0.5884071784502888,0.20600308742267717,0.18902771983812083,0.6856889207824537,0.08695652173913053
0.7500000000000002,0.6249999999999999,0.9495798319327731,0.44529290106431313,0.5484740581184455,0.20805613407575552,0.1840130556680671,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9579831932773109,0.4407832276111578,0.5484740581184455,0.19720744436814258,0.17901053354201146,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6249999999999999,0.9579831932773109,0.38819759065739595,0.5724046128317408,0.19763135710979624,0.17901053354200927,0.6682872939692864,0.18840579710144875
0.7500000000000002,0.6249999999999999,0.9495798319327731,0.3926435239445467,0.5989974487512775,0.20678157883078616,0.1840130556680671,0.6682872939692864,0.18840579710144875
0.7500000000000002,0.6416666666666662,0.9579831932773109,0.4407832276111578,0.5484740581184455,0.19720744436814258,0.17901053354201146,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9579831932773109,0.4407832276111578,0.5484740581184455,0.19720744436814258,0.17901053354201146,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9579831932773109,0.4407832276111578,0.5484740581184455,0.19720744436814258,0.17901053354201146,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9579831932773109,0.4407832276111578,0.5484740581184455,0.19720744436814258,0.17901053354201146,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9579831932773109,0.4407832276111578,0.5484740581184455,0.19720744436814258,0.17901053354201146,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9579831932773109,0.4407832276111578,0.5484740581184455,0.19720744436814258,0.17901053354201146,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9831932773109243,0.4273194859989028,0.5484740581184455,0.1993124235295583,0.16407538002935407,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9579831932773109,0.4407832276111578,0.3372702302005929,0.18613747214442963,0.17901053354201146,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9579831932773109,0.4407832276111578,0.3222309406804899,0.1852419727333223,0.17901053354201146,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9579831932773109,0.4407832276111578,0.2695276300018979,0.18310965285124756,0.17901053354201146,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9579831932773109,0.4407832276111578,0.21699756215491364,0.18108161710367798,0.17901053354201146,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9579831932773109,0.4407832276111578,0.08199548435923208,0.1926566992263581,0.17901053354201146,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9579831932773109,0.4407832276111578,0.11950919689911124,0.17838394946004382,0.17901053354201146,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9579831932773109,0.4407832276111578,0.07274018150026845,0.177389180636001,0.17901053354201146,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,1.0,0.4316406083159249,0.5424975009756028,0.19988644142802306,0.15417851937836735,0.6806725560890592,0.1159420289855059
0.7500000000000002,0.6416666666666662,1.0,0.41839766444116355,0.5484740581184455,0.20071788059587586,0.15417851937836735,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9831932773109243,0.4273194859989028,0.5484740581184455,0.1993124235295583,0.16407538002935407,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9915966386554622,0.42285320062873344,0.5484740581184455,0.2000149494021778,0.15912098773961553,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9915966386554622,0.42285320062873344,0.5484740581184455,0.2000149494021778,0.15912098773961553,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9915966386554622,0.42285320062873344,0.5484740581184455,0.2000149494021778,0.15912098773961553,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9327731092436974,0.3885483078716485,0.5783933630247443,0.1993674631824132,0.19405457031235482,0.6905190743401847,0.20289855072463753
0.7500000000000002,0.6416666666666662,0.9915966386554622,0.42285320062873344,0.5484740581184455,0.2000149494021778,0.15912098773961553,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9915966386554622,0.42285320062873344,0.5484740581184455,0.2000149494021778,0.15912098773961553,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9915966386554622,0.42285320062873344,0.5484740581184455,0.2000149494021778,0.15912098773961553,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9915966386554622,0.42285320062873344,0.5484740581184455,0.2000149494021778,0.15912098773961553,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9915966386554622,0.42285320062873344,0.5484740581184455,0.2000149494021778,0.15912098773961553,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9915966386554622,0.42285320062873344,0.14311955689480377,0.20167153565476084,0.15912098773961553,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9915966386554622,0.42285320062873344,0.08199548435923208,0.19621400764101168,0.15912098773961553,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9915966386554622,0.42285320062873344,0.4025224962722738,0.20243915185485264,0.15912098773961553,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9915966386554622,0.42285320062873344,0.21530875061209648,0.20984926107737997,0.15912098773961553,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9915966386554622,0.42285320062873344,0.28770896542792346,0.2427562713926947,0.15912098773961553,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9915966386554622,0.42285320062873344,0.27388311707337987,0.20728352234138098,0.15912098773961553,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9915966386554622,0.42285320062873344,0.21530568034077494,0.21046665288260205,0.15912098773961553,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9915966386554622,0.42285320062873344,0.28770896542792346,0.23687586434747634,0.15912098773961553,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9915966386554622,0.42285320062873344,0.28770896542792346,0.23687586434747634,0.15912098773961553,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9915966386554622,0.42285320062873344,0.10835228334336308,0.21813429258979733,0.15912098773961553,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9915966386554622,0.42285320062873344,0.4731957130732666,0.20087076149135288,0.15912098773961553,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9915966386554622,0.42285320062873344,0.40251889609895875,0.20241889201663782,0.15912098773961553,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9915966386554622,0.42285320062873344,0.2738980333986729,0.20731720446178373,0.15912098773961553,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9915966386554622,0.42285320062873344,0.21530875061209648,0.21044559887113148,0.15912098773961553,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9915966386554622,0.42285320062873344,0.5484740581184455,0.20186839234856457,0.15912098773961553,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9915966386554622,0.42285320062873344,0.5484740581184455,0.20186839234856457,0.15912098773961553,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9915966386554622,0.42285320062873344,0.5484740581184455,0.20186839234856457,0.15912098773961553,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9915966386554622,0.42285320062873344,0.5017939385045467,0.20868836909386343,0.15912098773961553,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9915966386554622,0.42285320062873344,0.4575214215240695,0.21504162325884413,0.15912098773961553,0.6781778104335058,0.1304347826086958
0.7500000000000002,0.6416666666666662,0.9915966386554622,0.42285320062873344,0.4155143256267575,0.22154094239975738,0.15912098773961553,0.6781778104335058,0.1304347826086958
